Session Id: 20210-194753
DEBUG | Tue Jul 28 19:47:53 IST 2020 : Services initiated
DEBUG | Tue Jul 28 19:47:54 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\FykLvVmcEy1595945873478
DEBUG | Tue Jul 28 19:47:54 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:54 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:54 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 19:47:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\iHDxWSWMXa1595945873478
DEBUG | Tue Jul 28 19:47:55 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\rOecOjewAi1595873795794
DEBUG | Tue Jul 28 19:47:55 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\sirToDIUnt1595873795794
DEBUG | Tue Jul 28 19:47:55 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:47:55 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 19:48:03 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 19:48:03 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 19:48:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 19:48:20 IST 2020 : Setting UI for files in bucket...
