WARN  | Tue Jul 28 21:55:42 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-215542
DEBUG | Tue Jul 28 21:55:42 IST 2020 : Services initiated
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\hTwZNxdCtt1595953542356
DEBUG | Tue Jul 28 21:55:43 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\SHTJxpYiNj1595953542357
DEBUG | Tue Jul 28 21:55:43 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:43 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 21:55:52 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 21:55:52 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 21:55:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:55:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:06 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:08 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:09 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:10 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:11 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:12 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 21:56:18 IST 2020 : Setting UI for files in bucket...
