DEBUG | Tue Jul 28 23:14:05 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:05 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:05 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:05 IST 2020 : Adding file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:05 IST 2020 : Add to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:05 IST 2020 : Added to copy List: C:\Users\user\Desktop\src\set-2\1.bmp
WARN  | Tue Jul 28 23:14:05 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-231405
DEBUG | Tue Jul 28 23:14:05 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\kiPrkrVbbT1595958245576
DEBUG | Tue Jul 28 23:14:07 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\mMLENDhmzF1595958245576
DEBUG | Tue Jul 28 23:14:07 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:14:12 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 23:14:12 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 23:14:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:32 IST 2020 : Setting UI for files in bucket...
WARN  | Tue Jul 28 23:14:05 IST 2020 : Failed to unzip the resources: D:\Programs\LidoSoftwares\LidoCopy\res.zip (The system cannot find the file specified)
Session Id: 20210-231405
DEBUG | Tue Jul 28 23:14:05 IST 2020 : Services initiated
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\kiPrkrVbbT1595958245576
DEBUG | Tue Jul 28 23:14:07 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Added file for copy to srcFiles: 1
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Add file for copy: D:\Programs\LidoSoftwares\LidoCopy\files\mMLENDhmzF1595958245576
DEBUG | Tue Jul 28 23:14:07 IST 2020 : passing to backpanel >> C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Got file for copy: C:\Users\user\Desktop\src\set-2\1.bmp
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Added file for copy to srcFiles: 2
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:07 IST 2020 : Setting UI for files in bucket...
INFO  | Tue Jul 28 23:14:12 IST 2020 : Files with same names (but not same hash) found. Will show overwrite strategy dialog.
INFO  | Tue Jul 28 23:14:12 IST 2020 : Files with same names and relative paths copied together from different sources. Will show overwrite strategy dialog.
DEBUG | Tue Jul 28 23:14:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:13 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:14 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:15 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:16 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:17 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:18 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:19 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:20 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:21 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:22 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:23 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:24 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:25 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:26 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:27 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:28 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:29 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:30 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:31 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:32 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:33 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:34 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:35 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:36 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:37 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:38 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:39 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:40 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:41 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:42 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:43 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:44 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:45 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:46 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:47 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:48 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:49 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:50 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:51 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:52 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:53 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:54 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:55 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:56 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:57 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:58 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:59 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:00 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:01 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:02 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:03 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:04 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:15:05 IST 2020 : Setting UI for files in bucket...
DEBUG | Tue Jul 28 23:14:36 IST 2020 : Setting UI for files in bucket...
